sku_id,kategori,arsvolum,cv_target,pris,leveringstid_dager,lt_variabilitet,holdbarhet_dager,substitusjonsgrad,kampanjer_ar
S00024,daglig,10979.6,0.412,19.82,3.24,0.255,29.4,0.6,2.86
S00025,reservedel,210.24,1.124,2194.3,17.31,0.403,2754.2,0.174,0.4
S00026,daglig,4089.72,0.365,46.95,2.52,0.125,28.3,0.559,3.81
S00027,sesong,2635.11,0.928,67.24,19.8,0.155,229.3,0.354,3.74
S00028,ferskvare,3809.47,0.397,87.47,2.19,0.24,5.8,0.487,4.92
S00029,premium,389.43,1.412,1474.91,7.19,0.309,955.7,0.36,1.81
S00030,daglig,3673.16,0.262,31.29,4.61,0.273,17.4,0.499,3.42
S00031,reservedel,337.18,1.079,287.66,45.67,0.258,3136.3,0.093,0.29
S00032,ikke-mat,664.88,0.799,163.89,8.84,0.19,395.9,0.122,0.7
S00033,premium,216.42,1.249,829.81,8.72,0.301,1300.0,0.355,0.13
S00034,daglig,4658.7,0.225,38.56,3.67,0.11,15.6,0.61,2.61
S00035,daglig,5678.9,0.427,14.96,5.37,0.281,29.5,0.721,6.68
S00036,premium,154.78,1.357,415.28,12.65,0.304,1277.7,0.239,1.16
S00037,ikke-mat,431.12,0.768,241.15,15.42,0.231,901.6,0.247,1.31
S00038,ikke-mat,312.56,1.423,168.75,28.72,0.471,1067.1,0.231,2.14
S00039,reservedel,72.45,2.267,1742.09,47.98,0.315,2873.2,0.061,1.39
S00040,premium,127.42,1.176,352.15,16.06,0.175,1378.0,0.141,2.88
S00041,sesong,5207.52,0.841,133.36,20.14,0.201,240.0,0.138,7.31
S00042,premium,88.07,1.121,1115.89,11.39,0.307,1157.8,0.34,1.48
S00043,sesong,1195.39,0.51,45.22,6.4,0.282,187.7,0.41,7.7
S00044,frossen,4392.52,0.559,160.82,12.68,0.273,231.5,0.263,2.59
S00045,daglig,2745.74,0.265,46.48,4.21,0.287,24.9,0.592,4.26
S00046,reservedel,192.84,2.12,3047.73,17.11,0.54,2586.6,0.037,1.18
S00047,daglig,5215.21,0.286,51.27,3.18,0.192,17.2,0.521,7.51
S00048,ikke-mat,423.54,0.733,448.81,26.98,0.249,1586.9,0.143,4.0
S00049,daglig,5303.03,0.177,54.85,2.12,0.148,10.3,0.711,3.19
S00050,ikke-mat,231.74,1.388,64.47,5.14,0.168,1249.7,0.421,0.95
S00051,kampanje,1467.48,1.071,112.78,11.72,0.34,155.7,0.316,10.42
S00052,premium,438.28,1.193,1561.81,5.79,0.37,427.1,0.181,2.13
S00053,frossen,1141.16,0.222,136.69,7.89,0.377,409.3,0.269,2.37
S00054,reservedel,24.85,2.566,1510.71,57.04,0.455,2397.2,0.044,1.89
S00055,frossen,1083.26,0.48,142.12,26.75,0.23,318.8,0.362,3.9
S00056,kampanje,11588.12,0.637,47.81,7.05,0.286,121.6,0.554,12.94
S00057,sesong,594.25,0.744,71.22,5.58,0.234,204.6,0.19,7.01
S00058,ferskvare,4332.3,0.496,63.6,2.3,0.147,5.7,0.52,3.16
S00059,frossen,10185.5,0.405,156.56,25.61,0.384,316.6,0.408,5.2
S00060,ikke-mat,486.52,1.605,247.66,7.9,0.175,1594.3,0.122,1.12
S00061,frossen,2059.52,0.326,157.54,7.31,0.365,475.4,0.349,2.61
S00062,kampanje,1422.81,0.628,56.49,13.58,0.399,145.8,0.424,16.25
S00063,sesong,1468.32,0.77,31.39,8.34,0.255,109.9,0.166,8.85
S00064,ikke-mat,1430.88,1.267,385.63,29.76,0.2,1019.4,0.257,0.32
S00065,premium,182.47,1.016,441.08,6.26,0.422,237.2,0.17,0.88
S00066,premium,96.45,1.145,989.26,4.51,0.223,1259.8,0.291,1.95
S00067,ferskvare,3362.39,0.27,42.5,2.08,0.151,6.1,0.493,4.84
S00068,ikke-mat,2062.28,1.206,413.82,19.68,0.448,862.3,0.3,2.13
S00069,frossen,2347.55,0.567,139.09,10.73,0.268,176.2,0.21,5.71
S00070,daglig,6645.1,0.242,39.92,2.03,0.156,23.2,0.654,7.89
S00071,premium,402.77,1.338,1645.32,15.97,0.439,1181.0,0.36,0.34
S00072,frossen,7321.08,0.376,126.26,20.74,0.394,533.1,0.315,4.94
S00073,reservedel,28.04,1.111,207.75,56.64,0.396,3607.6,0.139,1.96
S00074,ikke-mat,525.25,1.552,83.93,18.89,0.431,1715.1,0.429,0.15
S00075,daglig,6607.22,0.183,43.77,4.85,0.255,26.9,0.696,6.81
S00076,kampanje,2925.54,0.702,82.19,12.58,0.201,107.2,0.571,8.36
S00077,premium,106.77,1.239,580.25,18.35,0.254,1272.3,0.19,1.77
S00078,ferskvare,3117.41,0.346,81.49,1.38,0.113,3.1,0.587,5.04
S00079,frossen,2682.7,0.363,57.58,19.07,0.4,405.4,0.438,3.57
S00080,reservedel,29.09,1.745,499.22,31.92,0.227,1311.8,0.005,0.91
S00081,reservedel,169.66,1.615,3072.73,55.12,0.416,1553.7,0.269,0.47
S00082,ikke-mat,77.16,1.691,261.82,23.56,0.357,1319.0,0.22,0.97
S00083,kampanje,3171.67,1.118,48.32,9.61,0.358,147.6,0.475,13.72
S00084,kampanje,6240.36,0.988,101.46,13.03,0.358,57.8,0.525,9.22
S00085,ferskvare,2944.26,0.429,47.47,1.07,0.244,1.6,0.316,2.23
S00086,ikke-mat,138.76,1.146,256.44,12.81,0.168,527.9,0.254,0.24
S00087,reservedel,16.42,1.414,1309.67,35.0,0.201,1048.4,0.259,0.0
S00088,ikke-mat,273.25,1.187,183.24,15.78,0.423,1593.2,0.204,1.29
S00089,frossen,1071.54,0.473,72.66,13.95,0.386,111.9,0.384,4.85
S00090,sesong,1883.32,0.474,47.97,19.7,0.152,117.4,0.113,3.77
S00091,ikke-mat,813.68,1.283,286.08,26.24,0.152,1610.9,0.348,0.65
S00092,frossen,1989.34,0.542,76.95,26.29,0.291,361.5,0.594,3.45
S00093,ikke-mat,713.03,1.559,290.29,10.41,0.295,828.7,0.131,0.12
S00094,premium,35.63,0.521,464.78,16.05,0.362,1125.4,0.195,2.67
S00095,sesong,1823.36,0.522,120.1,7.77,0.251,362.5,0.102,3.12
S00096,frossen,6559.43,0.434,55.94,25.84,0.376,331.3,0.449,3.09
S00097,ikke-mat,107.2,0.954,315.45,25.91,0.156,1234.7,0.193,3.5
S00098,daglig,5021.09,0.333,37.68,3.58,0.236,23.7,0.627,6.55
S00099,ikke-mat,247.85,1.217,54.99,24.9,0.332,960.6,0.138,3.56
S00100,reservedel,28.73,2.06,546.05,67.69,0.271,1304.7,0.258,1.83
S00101,sesong,410.9,0.817,144.19,11.06,0.253,286.2,0.392,8.48
S00102,sesong,5393.81,0.502,147.52,18.85,0.31,90.5,0.182,8.21
S00103,ferskvare,9438.29,0.382,68.95,2.78,0.159,2.9,0.543,3.9
S00104,daglig,3330.92,0.331,56.77,3.87,0.139,15.7,0.558,2.79
S00105,kampanje,3356.74,0.771,115.49,6.44,0.22,143.0,0.652,11.34
S00106,sesong,3234.8,0.543,97.86,12.49,0.202,73.8,0.293,9.72
S00107,sesong,480.89,0.505,62.82,9.72,0.303,327.4,0.461,9.89
S00108,ikke-mat,121.51,1.744,78.73,8.44,0.257,1172.2,0.139,3.38
S00109,ikke-mat,199.95,0.798,151.3,9.01,0.448,1218.0,0.394,1.18
S00110,frossen,1048.79,0.362,160.4,23.22,0.241,513.7,0.248,5.58
S00111,ikke-mat,351.75,1.616,121.8,15.34,0.307,723.1,0.384,3.41
S00112,daglig,10828.82,0.309,22.42,2.98,0.132,28.6,0.755,6.66
S00113,kampanje,10012.92,0.894,73.66,8.35,0.226,48.8,0.681,13.78
S00114,frossen,6039.44,0.265,126.48,11.36,0.251,103.5,0.248,5.67
S00115,daglig,6437.67,0.29,30.02,4.13,0.137,29.7,0.727,6.45
S00116,kampanje,670.08,0.649,112.07,7.41,0.21,81.4,0.618,15.47
S00117,daglig,6151.31,0.214,56.19,3.75,0.228,7.1,0.797,3.69
S00118,premium,81.96,1.004,406.45,5.74,0.34,682.9,0.377,0.96
S00119,ferskvare,6325.47,0.481,59.98,1.95,0.243,3.1,0.371,4.39
S00120,ikke-mat,462.64,0.648,229.85,27.31,0.412,1813.0,0.313,2.64
S00121,sesong,5092.34,0.633,126.01,11.45,0.262,279.5,0.304,9.35
S00122,kampanje,4527.0,0.971,54.24,8.08,0.288,48.9,0.337,16.01
S00123,sesong,3069.82,0.46,72.45,8.16,0.306,322.5,0.199,7.67
S00124,ikke-mat,346.18,0.93,105.46,12.09,0.386,1694.1,0.181,2.17
S00125,frossen,1997.31,0.444,77.09,20.14,0.264,529.3,0.36,4.74
S00126,ikke-mat,511.14,1.08,400.04,20.26,0.305,1731.5,0.442,1.29
S00127,premium,259.53,1.195,734.58,7.4,0.424,1362.6,0.353,2.93
S00128,frossen,1232.79,0.506,160.83,17.09,0.291,198.1,0.458,3.16
S00129,kampanje,3406.86,0.816,41.89,12.16,0.372,55.2,0.303,12.03
S00130,kampanje,3433.27,1.095,33.83,11.74,0.223,88.5,0.699,10.31
S00131,reservedel,190.74,1.953,2990.65,68.85,0.228,1124.3,0.237,0.54
S00132,sesong,1953.3,0.782,44.54,18.32,0.185,189.2,0.321,6.51
S00133,kampanje,2794.12,1.195,119.94,9.16,0.219,139.2,0.691,11.82
S00134,ikke-mat,913.32,1.11,70.57,21.81,0.274,1514.7,0.433,3.28
S00135,reservedel,112.65,2.173,2580.34,39.48,0.557,1141.7,0.264,0.19
S00136,ferskvare,3039.25,0.437,20.06,1.11,0.1,3.6,0.61,1.17
S00137,kampanje,9214.24,0.659,34.69,12.61,0.365,110.8,0.628,9.11
S00138,ikke-mat,284.73,1.485,152.98,23.81,0.326,1460.4,0.286,1.47
S00139,ferskvare,2775.02,0.513,23.92,1.17,0.126,2.1,0.629,2.99
S00140,sesong,3547.01,0.519,114.96,12.18,0.229,326.9,0.49,9.11
S00141,ferskvare,2011.16,0.48,36.68,2.47,0.185,4.3,0.631,4.55
S00142,sesong,1355.3,0.475,108.2,12.78,0.202,187.7,0.403,8.79
S00143,kampanje,2728.4,0.726,72.19,7.15,0.313,131.5,0.326,8.01
S00144,frossen,1144.8,0.558,141.64,10.61,0.378,301.5,0.39,5.74
S00145,ferskvare,9574.87,0.455,29.66,2.36,0.132,1.6,0.383,3.11
S00146,daglig,6192.69,0.19,53.01,3.28,0.172,8.3,0.543,3.59
S00147,reservedel,26.1,2.41,2980.56,15.99,0.243,1057.9,0.186,0.24
S00148,frossen,5058.0,0.502,170.27,18.05,0.399,109.9,0.361,3.3
S00149,ferskvare,4816.34,0.532,27.78,2.96,0.175,4.0,0.688,2.9
S00150,reservedel,64.05,1.894,479.52,29.27,0.277,1022.6,0.26,1.18
S00151,frossen,1822.5,0.373,139.47,26.46,0.387,266.2,0.332,3.8
S00152,kampanje,7612.86,0.85,85.88,9.54,0.264,81.9,0.451,9.14
S00153,kampanje,5164.18,0.803,41.45,9.63,0.351,68.6,0.631,19.13
S00154,sesong,2850.29,0.784,36.83,20.13,0.228,341.8,0.332,3.03
S00155,frossen,5949.36,0.425,39.38,22.61,0.37,313.4,0.386,2.02
S00156,daglig,5640.6,0.249,53.94,3.49,0.213,13.2,0.464,6.65
S00157,sesong,2165.37,0.933,155.27,18.69,0.188,241.3,0.451,5.62
S00158,ferskvare,1019.35,0.534,51.13,2.13,0.247,4.6,0.47,2.85
S00159,sesong,791.56,0.847,138.9,9.55,0.211,326.7,0.11,6.64
S00160,ferskvare,1732.76,0.492,27.25,2.34,0.157,4.7,0.316,3.31
S00161,reservedel,7.79,1.137,668.04,30.65,0.239,3495.6,0.121,1.62
S00162,frossen,6786.71,0.232,142.53,25.3,0.327,283.1,0.372,2.14
S00163,sesong,877.72,0.929,35.25,16.29,0.21,335.4,0.118,9.55
S00164,frossen,1199.27,0.247,44.87,24.53,0.231,330.7,0.566,4.27
S00165,ikke-mat,235.09,0.676,437.5,12.77,0.216,782.6,0.486,0.38
S00166,ferskvare,6787.36,0.498,77.25,2.95,0.226,6.7,0.351,4.98
S00167,kampanje,2787.63,1.134,117.18,11.05,0.297,98.5,0.455,12.34
S00168,frossen,2570.36,0.236,47.78,23.38,0.289,508.8,0.445,2.14
S00169,kampanje,599.79,1.184,41.87,9.16,0.387,176.6,0.395,8.59
S00170,sesong,1567.37,0.482,55.37,14.1,0.332,223.9,0.35,4.41
S00171,frossen,8319.46,0.546,191.56,14.31,0.218,191.7,0.375,5.78
S00172,premium,151.78,1.348,1064.76,6.29,0.246,1016.1,0.302,1.3
S00173,premium,250.57,0.686,1698.67,6.38,0.182,817.0,0.256,1.52
S00174,sesong,1328.77,0.947,93.22,12.65,0.234,80.4,0.337,4.6
S00175,ikke-mat,428.82,1.778,237.6,27.42,0.316,453.1,0.429,2.59
S00176,ikke-mat,231.43,1.114,305.17,26.41,0.371,872.6,0.365,2.69
S00177,reservedel,17.48,1.623,2613.82,40.35,0.495,2066.9,0.065,1.49
S00178,reservedel,50.42,1.238,2035.69,54.84,0.558,1518.7,0.033,1.91
S00179,premium,580.96,0.82,1047.03,18.89,0.378,1086.4,0.153,1.07
S00180,sesong,691.52,0.524,65.55,9.93,0.175,227.8,0.382,3.49
S00181,ferskvare,4278.68,0.512,76.13,1.9,0.223,2.4,0.444,1.88
S00182,ferskvare,3275.2,0.387,33.07,2.5,0.147,2.6,0.352,3.19
S00183,ikke-mat,54.72,0.883,355.26,28.25,0.324,1303.8,0.447,4.0
S00184,kampanje,310.36,1.128,110.86,11.91,0.292,42.2,0.306,13.73
S00185,ferskvare,4806.29,0.449,56.41,2.67,0.116,2.4,0.617,5.24
S00186,ferskvare,2286.71,0.556,81.74,1.63,0.16,2.6,0.543,5.69
S00187,ferskvare,2436.65,0.354,27.73,1.39,0.109,6.7,0.461,5.17
S00188,kampanje,1523.43,0.675,37.55,12.12,0.253,167.0,0.356,16.13
S00189,reservedel,15.89,1.37,3089.3,25.88,0.372,1987.3,0.076,1.55
S00190,premium,195.04,0.916,1536.2,6.84,0.151,911.1,0.398,0.12
S00191,sesong,1624.38,0.855,41.58,11.32,0.299,173.3,0.176,4.37
S00192,sesong,1314.39,0.69,142.04,15.28,0.288,359.8,0.265,5.82
S00193,sesong,5455.82,0.815,128.09,6.56,0.244,121.2,0.174,6.25
S00194,reservedel,78.17,2.253,2911.73,58.16,0.306,1523.2,0.076,0.27
S00195,daglig,6585.8,0.217,52.33,3.6,0.107,10.7,0.656,6.7
S00196,reservedel,162.89,2.46,2735.11,60.9,0.291,868.1,0.26,0.61
S00197,daglig,5325.52,0.188,49.04,5.75,0.246,17.1,0.751,5.16
S00198,frossen,1086.68,0.528,158.64,13.04,0.224,197.3,0.401,4.02
S00199,frossen,2212.19,0.515,185.67,12.18,0.347,395.1,0.409,2.75
S00200,frossen,3021.96,0.584,154.1,26.28,0.397,248.4,0.455,3.9
S00201,daglig,3351.23,0.274,53.78,3.14,0.258,15.8,0.792,7.3
S00202,reservedel,73.33,2.209,1130.99,46.38,0.463,3150.7,0.007,0.44
S00203,reservedel,24.74,1.743,252.26,30.9,0.546,810.5,0.119,1.89
S00204,ikke-mat,204.11,1.5,153.05,26.67,0.411,1658.1,0.186,2.13
S00205,ferskvare,11935.87,0.331,17.04,2.92,0.207,4.8,0.598,3.66
S00206,premium,680.16,0.994,1224.7,6.63,0.416,1219.0,0.205,1.74
S00207,sesong,889.91,0.901,149.85,10.31,0.184,124.6,0.136,3.84
S00208,sesong,1136.96,0.945,39.63,7.12,0.315,237.0,0.41,7.42
S00209,ferskvare,3585.25,0.433,68.46,1.89,0.152,3.8,0.368,4.98
S00210,reservedel,50.53,1.161,848.62,60.52,0.332,2730.1,0.257,0.16
S00211,reservedel,26.03,1.268,2229.37,64.59,0.318,2386.7,0.087,1.11
S00212,premium,582.86,1.171,1197.67,5.43,0.358,1043.7,0.305,0.22
S00213,premium,132.23,0.595,555.79,10.94,0.373,483.4,0.349,1.64
S00214,ferskvare,3774.45,0.415,52.44,2.24,0.239,4.0,0.511,4.01
S00215,reservedel,108.87,1.777,1582.57,65.3,0.397,2092.2,0.289,0.9
S00216,ikke-mat,433.29,0.86,88.08,5.01,0.301,1488.1,0.393,0.13
S00217,sesong,1630.02,0.921,51.76,15.03,0.215,255.7,0.265,8.32
S00218,frossen,848.52,0.562,117.53,22.88,0.37,539.5,0.29,3.15
S00219,kampanje,2772.85,0.929,119.35,13.9,0.305,125.9,0.644,19.2
S00220,kampanje,6101.54,0.894,103.28,7.03,0.288,177.8,0.694,18.87
S00221,frossen,2518.89,0.328,125.3,18.78,0.301,376.5,0.363,5.0
S00222,premium,72.2,0.864,403.56,6.4,0.405,751.2,0.168,2.28
S00223,reservedel,29.28,1.438,632.24,49.35,0.31,910.3,0.016,1.16
S00224,frossen,2224.4,0.54,60.64,19.74,0.289,289.3,0.229,5.21
S00225,ikke-mat,380.51,0.814,411.56,18.74,0.203,661.1,0.364,2.9
S00226,reservedel,12.02,2.52,1621.48,28.02,0.391,1773.8,0.067,0.09
S00227,daglig,3822.86,0.156,31.96,4.58,0.222,24.9,0.724,6.27
S00228,kampanje,5262.62,0.859,80.34,6.46,0.209,63.5,0.482,12.97
S00229,daglig,2719.89,0.428,20.07,5.72,0.104,28.3,0.781,2.07
S00230,sesong,2004.45,0.935,147.77,20.53,0.26,83.8,0.44,7.3
S00231,reservedel,22.7,1.872,559.17,54.39,0.23,2858.3,0.255,0.94
S00232,frossen,2367.75,0.325,194.96,22.4,0.274,168.7,0.288,3.86
S00233,frossen,4971.27,0.286,176.83,14.94,0.37,198.8,0.447,5.71
S00234,reservedel,49.62,2.078,3160.42,19.04,0.235,2695.4,0.102,0.14
S00235,ferskvare,3745.11,0.35,40.13,2.69,0.178,6.1,0.479,5.76
S00236,ferskvare,3155.23,0.291,81.38,1.98,0.121,1.9,0.575,1.24
S00237,frossen,2324.5,0.376,103.37,17.96,0.256,104.4,0.446,3.49
S00238,kampanje,4347.66,0.621,21.38,6.48,0.291,89.1,0.624,12.53
S00239,premium,79.14,0.524,1024.21,9.21,0.276,308.4,0.335,2.83
S00240,frossen,2772.25,0.441,161.03,12.98,0.358,374.6,0.572,5.92
S00241,ikke-mat,181.4,1.256,108.7,13.41,0.496,388.7,0.281,3.37
S00242,daglig,6933.51,0.294,58.9,3.9,0.126,8.2,0.778,3.59
S00243,premium,87.51,0.966,1688.17,12.04,0.441,511.3,0.251,2.58
S00244,frossen,1086.27,0.312,176.15,15.19,0.306,529.4,0.275,3.21
S00245,sesong,1957.89,0.55,118.4,7.9,0.285,140.4,0.242,5.44
S00246,daglig,14101.62,0.29,28.06,5.41,0.214,11.9,0.76,4.06
S00247,ikke-mat,109.7,0.749,145.39,23.68,0.196,1543.1,0.475,2.43
S00248,daglig,3528.06,0.364,59.64,3.37,0.133,18.9,0.613,3.07
S00249,ferskvare,3582.55,0.575,34.84,1.08,0.116,2.4,0.41,1.16
S00250,frossen,1780.22,0.277,97.47,15.09,0.268,237.6,0.236,2.1
S00251,sesong,2020.12,0.945,150.71,13.07,0.256,155.9,0.41,8.35
S00252,sesong,2809.0,0.898,86.47,17.27,0.311,154.1,0.472,3.66
S00253,reservedel,59.28,1.059,2127.44,12.05,0.508,3061.7,0.181,1.71
S00254,reservedel,18.58,1.369,1372.23,12.55,0.379,1497.1,0.118,0.85
S00255,daglig,5214.21,0.418,31.3,3.31,0.201,16.6,0.503,5.02
S00256,reservedel,55.28,1.498,1845.27,34.8,0.53,1472.2,0.291,1.57
S00257,ferskvare,2442.06,0.3,54.48,1.34,0.223,4.5,0.405,5.65
S00258,reservedel,875.14,1.859,2329.65,13.53,0.439,3110.6,0.02,1.02
S00259,kampanje,4224.34,0.627,113.71,12.95,0.237,78.5,0.535,16.62
S00260,kampanje,1397.03,0.652,30.42,14.0,0.291,160.9,0.493,19.07
S00261,reservedel,986.25,2.48,3036.18,28.88,0.342,2045.7,0.125,0.38
S00262,daglig,5909.24,0.226,45.26,2.27,0.108,22.0,0.536,5.93
S00263,ferskvare,2205.73,0.512,80.72,1.27,0.148,3.2,0.515,2.48
S00264,daglig,2945.13,0.261,22.73,3.54,0.139,13.0,0.651,4.33
S00265,sesong,1239.33,0.836,79.25,14.4,0.343,219.2,0.464,8.56
S00266,kampanje,3858.89,0.829,89.83,13.87,0.292,43.9,0.525,9.52
S00267,ikke-mat,302.39,1.468,397.74,20.72,0.364,1466.7,0.437,3.48
S00268,premium,179.01,1.112,546.03,18.49,0.345,717.9,0.156,1.02
S00269,ikke-mat,143.86,0.712,405.21,24.11,0.22,791.8,0.489,2.83
S00270,ikke-mat,94.23,0.969,169.65,5.99,0.405,428.0,0.102,2.92
S00271,reservedel,40.73,1.702,1596.46,36.17,0.33,2248.6,0.129,1.2
S00272,reservedel,81.94,2.592,325.68,33.08,0.272,1751.7,0.086,0.35
S00273,daglig,1780.26,0.426,11.63,2.27,0.181,8.8,0.505,7.92
S00274,premium,53.38,0.718,1117.83,11.96,0.324,662.2,0.348,0.42
S00275,ikke-mat,457.93,1.642,197.83,19.19,0.174,613.7,0.128,2.91
S00276,ferskvare,2941.57,0.503,19.98,2.73,0.225,1.5,0.31,1.28
S00277,frossen,534.07,0.419,105.33,23.71,0.298,315.3,0.596,2.6
S00278,premium,287.47,0.557,964.24,18.95,0.35,1057.1,0.179,1.26
S00279,daglig,4235.61,0.289,26.34,3.22,0.15,15.4,0.46,7.23
S00280,kampanje,7349.98,0.637,89.39,12.48,0.248,52.6,0.303,8.57
S00281,kampanje,19449.51,0.579,94.81,4.72,0.318,143.4,0.444,8.13
S00282,premium,284.12,1.59,612.19,6.41,0.187,890.7,0.279,2.38
S00283,ikke-mat,394.57,1.567,148.91,18.9,0.254,846.5,0.473,2.73
S00284,premium,66.79,0.959,1059.9,11.77,0.182,483.0,0.258,0.2
S00285,premium,61.53,0.718,1424.51,4.74,0.42,1108.9,0.121,2.08
S00286,reservedel,46.85,2.187,2663.98,53.1,0.434,1664.8,0.209,1.91
S00287,daglig,7098.97,0.281,47.81,5.99,0.132,11.7,0.616,4.89
S00288,frossen,1289.6,0.22,101.71,19.24,0.317,385.8,0.488,4.57
S00289,kampanje,1274.8,0.616,47.32,9.27,0.375,131.9,0.336,15.11
S00290,premium,38.01,1.307,1523.91,13.68,0.327,613.4,0.234,2.59
S00291,daglig,4211.59,0.26,12.52,2.57,0.139,15.6,0.778,5.03
S00292,ikke-mat,1702.49,0.727,185.32,25.39,0.284,1492.9,0.421,0.44
S00293,reservedel,15.16,1.584,238.95,65.4,0.553,2249.9,0.166,0.42
S00294,frossen,3830.07,0.399,40.59,21.34,0.39,463.1,0.311,2.21
S00295,frossen,1548.17,0.413,140.98,16.71,0.284,143.8,0.239,2.93
S00296,reservedel,10.54,1.148,787.3,42.92,0.286,1198.2,0.169,0.74
S00297,premium,102.63,0.666,1661.49,19.24,0.399,988.0,0.286,1.92
S00298,ikke-mat,655.85,0.62,433.24,19.64,0.424,915.8,0.105,2.04
S00299,kampanje,4609.94,0.771,44.98,9.28,0.275,175.5,0.369,11.84
S00300,frossen,1605.04,0.417,117.38,20.52,0.39,218.3,0.477,2.1
S00301,sesong,3663.11,0.465,110.3,15.85,0.299,217.6,0.342,5.77
S00302,kampanje,1554.49,0.615,85.5,13.96,0.203,113.6,0.6,17.92
S00303,kampanje,676.14,1.003,105.9,5.22,0.385,33.9,0.634,8.92
S00304,frossen,3552.18,0.202,108.47,14.02,0.233,293.0,0.361,5.07
S00305,ikke-mat,282.18,0.749,168.16,27.83,0.181,959.0,0.477,3.8
S00306,reservedel,70.0,2.035,1505.05,55.21,0.213,1142.4,0.184,0.47
S00307,premium,38.73,1.475,1510.82,11.87,0.382,527.1,0.248,0.59
S00308,ikke-mat,1201.72,1.588,410.86,26.94,0.486,698.4,0.473,2.28
S00309,sesong,2459.37,0.621,67.51,8.86,0.166,211.5,0.455,7.41
S00310,ferskvare,4405.62,0.4,49.83,1.42,0.223,2.2,0.587,4.8
S00311,reservedel,74.16,1.395,2830.65,53.76,0.519,2667.2,0.254,1.99
S00312,frossen,3160.24,0.526,157.86,16.51,0.385,267.5,0.426,2.42
S00313,premium,459.0,0.936,830.53,7.43,0.297,1211.4,0.369,0.21
S00314,sesong,712.22,0.684,109.86,12.16,0.23,203.9,0.333,6.51
S00315,daglig,3215.77,0.374,27.07,5.2,0.271,10.5,0.633,3.71
S00316,ferskvare,7161.94,0.334,65.36,1.51,0.177,6.7,0.453,5.38
S00317,sesong,4209.91,0.466,81.13,18.93,0.288,222.5,0.255,8.69
S00318,reservedel,15.6,1.696,2864.55,23.8,0.268,2603.4,0.292,0.49
S00319,kampanje,2756.96,1.109,42.64,9.03,0.398,31.8,0.523,14.15
S00320,sesong,2477.17,0.628,83.34,7.69,0.298,299.3,0.155,5.75
S00321,frossen,2414.03,0.32,126.58,14.02,0.254,297.0,0.273,4.12
S00322,reservedel,250.22,1.878,370.5,60.66,0.27,2960.9,0.108,1.57
S00323,sesong,1995.84,0.699,34.28,8.6,0.295,315.4,0.132,9.17
S00324,sesong,1399.68,0.885,120.8,15.79,0.255,259.1,0.468,3.7
S00325,frossen,3864.0,0.578,108.47,21.18,0.368,536.0,0.265,5.2
S00326,kampanje,2349.67,0.582,95.41,7.55,0.33,107.1,0.404,9.62
S00327,ferskvare,2115.37,0.473,41.36,1.43,0.204,5.1,0.516,5.67
S00328,daglig,4477.17,0.401,13.76,4.96,0.298,26.5,0.632,5.76
S00329,premium,69.72,1.347,1797.17,11.86,0.168,942.7,0.136,0.73
S00330,kampanje,5242.92,1.025,38.38,5.66,0.209,161.0,0.577,8.48
S00331,ferskvare,1620.46,0.349,59.75,1.87,0.238,2.7,0.572,1.27
