sku_id,klasse,slot_id
S0089,B,A05-C00-L
S0050,B,A01-C10-L
S0118,B,A01-C10-R
S0082,B,A02-C08-R
S0115,B,A02-C08-L
S0055,B,A04-C03-L
S0103,B,A04-C03-R
S0128,B,A00-C13-L
S0069,B,A00-C13-R
S0075,B,A03-C06-R
S0127,B,A03-C06-L
S0062,B,A01-C11-L
S0039,B,A01-C11-R
S0091,B,A05-C01-L
S0054,B,A05-C01-R
S0111,B,A00-C14-R
S0120,B,A00-C14-L
S0084,B,A02-C09-L
S0040,B,A02-C09-R
S0083,B,A04-C04-L
S0096,B,A04-C04-R
S0064,B,A03-C07-R
S0077,B,A03-C07-L
S0067,B,A01-C12-L
S0097,B,A01-C12-R
S0078,B,A05-C02-R
S0108,B,A05-C02-L
S0099,B,A06-C00-L
S0072,B,A06-C00-R
S0109,B,A02-C10-L
S0073,B,A02-C10-R
S0132,B,A04-C05-L
S0074,B,A04-C05-R
S0060,B,A00-C15-R
S0126,B,A00-C15-L
S0098,B,A05-C03-R
S0094,B,A05-C03-L
S0057,B,A01-C13-L
S0044,B,A01-C13-R
S0079,B,A03-C08-L
S0208,C,A03-C08-R
S0351,C,A00-C16-R
S0159,C,A00-C16-L
S0142,C,A02-C11-L
S0144,C,A02-C11-R
S0186,C,A04-C06-L
S0233,C,A04-C06-R
S0315,C,A06-C01-L
S0285,C,A06-C01-R
S0266,C,A05-C04-L
S0278,C,A05-C04-R
S0272,C,A03-C09-L
S0141,C,A03-C09-R
S0265,C,A01-C14-R
S0259,C,A01-C14-L
S0377,C,A02-C12-L
S0307,C,A02-C12-R
S0365,C,A00-C17-R
S0390,C,A00-C17-L
S0235,C,A06-C02-L
S0393,C,A06-C02-R
S0295,C,A04-C07-L
S0161,C,A04-C07-R
S0122,C,A05-C05-L
S0210,C,A05-C05-R
S0213,C,A07-C00-L
S0347,C,A07-C00-R
S0335,C,A01-C15-R
S0284,C,A01-C15-L
S0345,C,A03-C10-R
S0225,C,A03-C10-L
S0260,C,A00-C18-R
S0221,C,A00-C18-L
S0196,C,A06-C03-R
S0143,C,A06-C03-L
S0255,C,A02-C13-L
S0256,C,A02-C13-R
S0134,C,A04-C08-L
S0288,C,A04-C08-R
S0249,C,A01-C16-R
S0189,C,A01-C16-L
S0136,C,A05-C06-R
S0147,C,A05-C06-L
S0312,C,A03-C11-L
S0244,C,A03-C11-R
S0331,C,A07-C01-L
S0384,C,A07-C01-R
S0203,C,A02-C14-L
S0279,C,A02-C14-R
S0363,C,A00-C19-L
S0205,C,A00-C19-R
S0232,C,A06-C04-L
S0396,C,A06-C04-R
S0155,C,A04-C09-L
S0250,C,A04-C09-R
S0154,C,A07-C02-R
S0133,C,A07-C02-L
S0359,C,A05-C07-R
S0140,C,A05-C07-L
S0145,C,A03-C12-L
S0344,C,A03-C12-R
S0178,C,A01-C17-R
S0387,C,A01-C17-L
S0241,C,A04-C10-L
S0112,C,A04-C10-R
S0343,C,A08-C00-L
S0179,C,A08-C00-R
S0398,C,A06-C05-L
S0368,C,A06-C05-R
S0337,C,A02-C15-R
S0240,C,A02-C15-L
S0258,C,A05-C08-L
S0292,C,A05-C08-R
S0372,C,A07-C03-R
S0156,C,A07-C03-L
S0191,C,A01-C18-R
S0378,C,A01-C18-L
S0173,C,A03-C13-L
S0175,C,A03-C13-R
S0226,C,A06-C06-R
S0262,C,A06-C06-L
S0360,C,A04-C11-L
S0341,C,A04-C11-R
S0165,C,A02-C16-R
S0209,C,A02-C16-L
S0318,C,A08-C01-R
S0395,C,A08-C01-L
S0151,C,A07-C04-R
S0338,C,A07-C04-L
S0380,C,A01-C19-R
S0148,C,A01-C19-L
S0157,C,A03-C14-R
S0352,C,A03-C14-L
S0201,C,A05-C09-L
S0257,C,A05-C09-R
S0373,C,A02-C17-R
S0379,C,A02-C17-L
S0216,C,A06-C07-L
S0333,C,A06-C07-R
S0369,C,A04-C12-R
S0185,C,A04-C12-L
S0190,C,A08-C02-R
S0264,C,A08-C02-L
S0382,C,A09-C00-R
S0110,C,A09-C00-L
S0236,C,A03-C15-L
S0283,C,A03-C15-R
S0392,C,A05-C10-R
S0316,C,A05-C10-L
S0198,C,A07-C05-L
S0309,C,A07-C05-R
S0366,C,A06-C08-L
S0334,C,A06-C08-R
S0218,C,A04-C13-R
S0353,C,A04-C13-L
S0224,C,A08-C03-R
S0223,C,A08-C03-L
S0321,C,A02-C18-L
S0399,C,A02-C18-R
S0238,C,A03-C16-R
S0305,C,A03-C16-L
S0243,C,A07-C06-R
S0310,C,A07-C06-L
S0253,C,A05-C11-R
S0181,C,A05-C11-L
S0294,C,A09-C01-L
S0299,C,A09-C01-R
S0268,C,A02-C19-L
S0370,C,A02-C19-R
S0195,C,A08-C04-R
S0167,C,A08-C04-L
S0327,C,A06-C09-R
S0202,C,A06-C09-L
S0308,C,A04-C14-R
S0322,C,A04-C14-L
S0304,C,A03-C17-L
S0187,C,A03-C17-R
S0150,C,A09-C02-R
S0228,C,A09-C02-L
S0215,C,A07-C07-L
S0261,C,A07-C07-R
S0219,C,A05-C12-L
S0217,C,A05-C12-R
S0188,C,A08-C05-R
S0374,C,A08-C05-L
S0389,C,A04-C15-R
S0371,C,A04-C15-L
S0286,C,A06-C10-L
S0207,C,A06-C10-R
S0248,C,A03-C18-R
S0174,C,A03-C18-L
S0346,C,A09-C03-R
S0146,C,A09-C03-L
S0339,C,A05-C13-L
S0385,C,A05-C13-R
S0239,C,A07-C08-L
S0169,C,A07-C08-R
S0298,C,A06-C11-R
S0269,C,A06-C11-L
S0247,C,A04-C16-L
S0325,C,A04-C16-R
S0180,C,A08-C06-R
S0251,C,A08-C06-L
S0314,C,A03-C19-R
S0400,C,A03-C19-L
S0182,C,A07-C09-L
S0275,C,A07-C09-R
S0397,C,A09-C04-R
S0176,C,A09-C04-L
S0300,C,A05-C14-R
S0324,C,A05-C14-L
S0170,C,A04-C17-L
S0287,C,A04-C17-R
S0200,C,A08-C07-R
S0160,C,A08-C07-L
S0227,C,A06-C12-L
S0388,C,A06-C12-R
S0375,C,A05-C15-L
S0123,C,A05-C15-R
S0383,C,A07-C10-R
S0135,C,A07-C10-L
S0362,C,A09-C05-R
S0229,C,A09-C05-L
S0349,C,A04-C18-L
S0242,C,A04-C18-R
S0293,C,A06-C13-L
S0306,C,A06-C13-R
S0130,C,A08-C08-L
S0277,C,A08-C08-R
S0138,C,A05-C16-L
S0273,C,A05-C16-R
S0319,C,A09-C06-L
S0214,C,A09-C06-R
S0163,C,A07-C11-L
S0328,C,A07-C11-R
S0391,C,A06-C14-L
S0119,C,A06-C14-R
S0332,C,A08-C09-L
S0254,C,A08-C09-R
S0113,C,A04-C19-L
S0301,C,A04-C19-R
S0137,C,A07-C12-R
S0164,C,A07-C12-L
S0358,C,A05-C17-L
S0350,C,A05-C17-R
S0237,C,A09-C07-L
S0336,C,A09-C07-R
S0184,C,A08-C10-L
S0230,C,A08-C10-R
S0276,C,A06-C15-R
S0220,C,A06-C15-L
S0348,C,A05-C18-L
S0152,C,A05-C18-R
S0246,C,A07-C13-R
S0171,C,A07-C13-L
S0342,C,A09-C08-R
S0329,C,A09-C08-L
S0194,C,A06-C16-R
S0357,C,A06-C16-L
S0139,C,A08-C11-R
S0364,C,A08-C11-L
S0177,C,A07-C14-R
S0231,C,A07-C14-L
S0158,C,A05-C19-L
S0199,C,A05-C19-R
S0222,C,A09-C09-L
S0172,C,A09-C09-R
S0129,C,A08-C12-L
S0131,C,A08-C12-R
S0252,C,A06-C17-R
S0206,C,A06-C17-L
S0168,C,A09-C10-L
S0326,C,A09-C10-R
S0355,C,A07-C15-R
S0303,C,A07-C15-L
S0361,C,A08-C13-L
S0354,C,A08-C13-R
S0183,C,A06-C18-R
S0267,C,A06-C18-L
S0320,C,A07-C16-R
S0245,C,A07-C16-L
S0317,C,A09-C11-R
S0212,C,A09-C11-L
S0193,C,A06-C19-L
S0291,C,A06-C19-R
S0323,C,A08-C14-L
S0192,C,A08-C14-R
S0280,C,A07-C17-L
S0330,C,A07-C17-R
S0197,C,A09-C12-R
S0296,C,A09-C12-L
S0211,C,A08-C15-R
S0381,C,A08-C15-L
S0302,C,A09-C13-R
S0153,C,A09-C13-L
S0386,C,A07-C18-R
S0166,C,A07-C18-L
S0114,C,A08-C16-L
S0162,C,A08-C16-R
S0149,C,A07-C19-L
S0311,C,A07-C19-R
S0297,C,A09-C14-R
S0234,C,A09-C14-L
S0376,C,A08-C17-L
S0121,C,A08-C17-R
S0271,C,A09-C15-R
S0367,C,A09-C15-L
S0282,C,A08-C18-R
S0281,C,A08-C18-L
S0394,C,A09-C16-R
S0356,C,A09-C16-L
S0289,C,A08-C19-R
S0263,C,A08-C19-L
S0204,C,A09-C17-R
S0274,C,A09-C17-L
S0313,C,A09-C18-R
S0290,C,A09-C18-L
S0270,C,A09-C19-R
S0340,C,A09-C19-L
