sku_id,daglig_freq,plukk_90d
S0071,0.8096147443211099,82
S0072,0.8043137840424621,74
S0073,0.7954515520347579,66
S0074,0.7661877839757502,68
S0075,0.7619724579608375,66
S0076,0.7509168132498113,86
S0077,0.7454357483345991,58
S0078,0.7272967743357038,75
S0079,0.7243761997359304,60
S0080,0.7219400602314116,74
S0081,0.711708093253782,68
S0082,0.6940742852084926,50
S0083,0.6912259920703762,43
S0084,0.6762635137010584,57
S0085,0.6755573276872149,62
S0086,0.6743729868184279,48
S0087,0.6684722083143836,48
S0088,0.658766850595784,64
S0089,0.6539653692747635,53
S0090,0.6429777062287554,73
S0091,0.6312822127320217,56
S0092,0.6262622957981011,47
S0093,0.6237734829646395,64
S0094,0.6150363565549354,54
S0095,0.6012850958213513,52
S0096,0.598879953757284,57
S0097,0.5974699195441754,49
S0098,0.5917779934499406,74
S0099,0.5894349231249546,54
S0100,0.5795376792605307,42
S0101,0.5790234773668175,56
S0102,0.5574783987741314,49
S0103,0.5572583814269503,46
S0104,0.556936489374943,43
S0105,0.5387722259793094,50
S0106,0.5292198148422204,44
S0107,0.5246111188695396,48
S0108,0.5182026613783053,47
S0109,0.5143926688774492,41
S0110,0.5053694358411387,35
S0111,0.5025227628259578,44
S0112,0.5002812537783315,37
S0113,0.49733421224622953,39
S0114,0.48786366251296465,40
S0115,0.48493495978549317,45
S0116,0.483361798120619,43
S0117,0.48035202278638844,43
S0118,0.47569700016989597,54
S0119,0.47111900952539465,37
S0120,0.4641756798869336,45
S0121,0.4607479893632285,31
S0122,0.4497184710270554,39
S0123,0.44521010960078006,40
S0124,0.4324801904700795,40
S0125,0.42359004175174586,45
S0126,0.4225585376799314,42
S0127,0.41837109050243987,48
S0128,0.41611265345792314,43
S0129,0.3947471117333743,35
S0130,0.3930404640967118,35
S0131,0.38762049442397073,32
S0132,0.386023870413587,44
S0133,0.3815939276526114,32
S0134,0.3812690050763257,32
S0135,0.3751986381501098,26
S0136,0.36814643134419195,29
S0137,0.36363764247608704,27
S0138,0.36150006968879667,35
S0139,0.35858485442224575,25
S0140,0.3563817267112685,36
S0141,0.3551377461491862,26
S0142,0.35268168058112964,30
S0143,0.34893372448885196,24
S0144,0.33986231016742285,28
S0145,0.33940483479278083,22
S0146,0.32976808292935417,30
S0147,0.3123410653703148,21
S0148,0.30898292392116783,34
S0149,0.3082918397231297,33
S0150,0.30760760631356426,32
S0151,0.3068784050705471,35
S0152,0.30215103337414156,26
S0153,0.2993828055672834,35
S0154,0.2786977387152349,35
S0155,0.27463250103145026,24
S0156,0.26822504731264607,24
S0157,0.2667835829608282,23
S0158,0.26544950781284543,23
S0159,0.265193226829207,21
S0160,0.2587292263844158,28
S0161,0.25831362011316317,23
S0162,0.258275783294034,29
S0163,0.25739420588222817,18
S0164,0.25366049453584877,17
S0165,0.2532325210265976,25
S0166,0.25271812609809,20
S0167,0.2522603888932051,21
S0168,0.2508912688972672,30
S0169,0.24662893037163103,16
S0170,0.24599867477894977,25
S0171,0.2369791618632327,20
S0172,0.23505182014990558,21
S0173,0.2319282565934775,23
S0174,0.23174519701513804,21
S0175,0.23011520446558964,20
S0176,0.22993859137182326,24
S0177,0.22935407042608408,19
S0178,0.22686527403249382,20
S0179,0.2206054203566137,25
S0180,0.2198587939059525,20
S0181,0.21959450500937838,19
S0182,0.21861664241540713,20
S0183,0.21736124542986854,17
S0184,0.21586367652074562,20
S0185,0.21539455101781055,23
S0186,0.21424584846946876,19
S0187,0.2074257068737103,18
S0188,0.19998751109647117,16
S0189,0.19917895145096284,18
S0190,0.19913502387832957,18
S0191,0.1959965642183407,17
S0192,0.1924003187830555,17
S0193,0.1912313086940499,18
S0194,0.190019081756535,21
S0195,0.1875411049077123,11
S0196,0.186964201143666,19
S0197,0.1864588946064601,16
S0198,0.18290715605822727,19
S0199,0.18278624759910334,15
S0200,0.18210096584411978,16
S0201,0.18064931118149896,9
S0202,0.1806190283707188,17
S0203,0.1766860225251096,19
S0204,0.1763803718828669,14
S0205,0.17420370750088798,10
S0206,0.17410518043577705,23
S0207,0.17297257596121776,15
S0208,0.1702028030962363,13
S0209,0.1655820776963745,19
S0210,0.15792296900346656,18
S0211,0.1578822463102632,16
S0212,0.1564462446498523,13
S0213,0.1561361679043113,13
S0214,0.15583217036152044,13
S0215,0.15400922296051042,15
S0216,0.14692117643754793,10
S0217,0.14407559801161074,20
S0218,0.1429503019450631,10
S0219,0.1416846143010515,23
S0220,0.1370748832701406,9
S0221,0.1364364198828112,11
S0222,0.13537402591362804,12
S0223,0.13352465739253377,14
S0224,0.13269755844048556,16
S0225,0.1312485653167907,16
S0226,0.13008722866461858,11
S0227,0.1296263859106412,11
S0228,0.12886728048512708,15
S0229,0.1286455359487813,9
S0230,0.12723909336085448,11
S0231,0.12632246675081077,11
S0232,0.12119027581257218,14
S0233,0.12115862449510047,7
S0234,0.11911035174671186,8
S0235,0.11741883819042195,6
S0236,0.11738134013518771,11
S0237,0.11580234897917081,8
S0238,0.11386582329118185,8
S0239,0.11182336235191821,9
S0240,0.11159415286081381,4
S0241,0.11135746242463873,13
S0242,0.11058198429661495,7
S0243,0.11039148544652855,12
S0244,0.11032816506753539,10
S0245,0.10912623493587828,5
S0246,0.10806895019655786,10
S0247,0.10394804480000734,4
S0248,0.10367328034009404,8
S0249,0.10273939934409855,8
S0250,0.10143084907004296,5
S0251,0.10095704103095478,6
S0252,0.10000071313065474,6
S0253,0.09972665506652584,5
S0254,0.09640902917857254,11
S0255,0.09383876996579224,7
S0256,0.09283860035457012,5
S0257,0.09203579992035602,11
S0258,0.08934447230958524,9
S0259,0.08741549715306696,6
S0260,0.0855334692906322,9
S0261,0.08345333405915935,7
S0262,0.08247855077375787,8
S0263,0.07931876875556128,6
S0264,0.0782998321276347,8
S0265,0.07719518351295164,10
S0266,0.0768294590093508,6
S0267,0.07593627411790475,11
S0268,0.07580024001867668,5
S0269,0.07529085575186419,5
S0270,0.0751659131245616,7
S0271,0.07317468667593666,7
S0272,0.07305581170438494,11
S0273,0.07278718397862072,6
S0274,0.07044246933728357,9
S0275,0.06830225160334567,6
S0276,0.06799713548390603,6
S0277,0.06780195695152533,3
S0278,0.06528281460048156,7
S0279,0.06509092035696791,5
S0280,0.06371505140493146,4
S0281,0.06323999923241257,5
S0282,0.06323338807656524,6
S0283,0.06183112560123298,4
S0284,0.06105254982876867,6
S0285,0.06081674998293481,5
S0286,0.0597568227648387,12
S0287,0.05919951317629053,9
S0288,0.05912473250997336,4
S0289,0.058976237742578964,4
S0290,0.05875792239539003,5
S0291,0.0579201857327541,8
S0292,0.05768991922718169,7
S0293,0.057440004136958094,6
S0294,0.05717543610512955,8
S0295,0.05633610617661865,6
S0296,0.054152959684908145,2
S0297,0.05407284519605054,5
S0298,0.053968936319431525,5
S0299,0.05370205242211414,4
S0300,0.053243243123029776,4
S0301,0.053006597954857855,5
S0302,0.05298490563654929,0
S0303,0.05194407324021894,4
S0304,0.0517255139292113,6
S0305,0.05143645800726285,4
S0306,0.05094906417666944,6
S0307,0.049950309092642614,1
S0308,0.04873965533429177,6
S0309,0.04825403097609024,3
S0310,0.048024559209697414,2
S0311,0.047567461473828225,2
S0312,0.047454059135007325,3
S0313,0.04726617865256873,6
S0314,0.04712321219144882,4
S0315,0.04567485562669558,3
S0316,0.044058494528513965,7
S0317,0.04254683678225488,8
S0318,0.04191280837198859,5
S0319,0.04093341434482782,1
S0320,0.04024660422926321,4
S0321,0.039405838569925286,2
S0322,0.03847920140015605,2
S0323,0.03838339303412434,2
S0324,0.03791395242759563,5
S0325,0.03672231421062692,2
S0326,0.03636138486162572,1
S0327,0.03492040254823633,6
S0328,0.03470645842648204,5
S0329,0.03427352410399411,5
S0330,0.03408416578804125,3
S0331,0.03377289802132873,0
S0332,0.03315769963276188,1
S0333,0.03303374278290167,2
S0334,0.032648203061688814,4
S0335,0.03165282142609881,5
S0336,0.03159005205238261,5
S0337,0.030683565995171497,3
S0338,0.03036400923036855,7
S0339,0.029781505524315945,2
S0340,0.029517974265028654,7
S0341,0.028519882338764027,4
S0342,0.028003741273252624,2
S0343,0.027640778156060596,1
S0344,0.02716764540925118,2
S0345,0.027013970371373274,2
S0346,0.02688648705603332,0
S0347,0.02634956802823645,6
S0348,0.026228770903959787,5
S0349,0.02586958639823646,1
S0350,0.02542848743995024,3
S0351,0.025192127015613786,5
S0352,0.02516118172518825,6
S0353,0.02513051010947891,2
S0354,0.02511831085213516,5
S0355,0.024489859002724428,3
S0356,0.02439318578334481,2
S0357,0.02430876445769443,3
S0358,0.02393510735894254,1
S0359,0.02268235354468121,2
S0360,0.02243704832448282,1
S0361,0.02070124775512989,2
S0362,0.020695117631100608,2
S0363,0.020244679145001332,2
S0364,0.020114705182377506,2
S0365,0.019603326092604047,1
S0366,0.018948584992225178,2
S0367,0.01854603738617874,2
S0368,0.01706382230498201,3
S0369,0.015837637383529377,0
S0370,0.014862702650709663,2
S0371,0.014733317196922913,0
S0372,0.014517706896285204,1
S0373,0.014496327594134637,5
S0374,0.014382880517408884,1
S0375,0.013970915931977782,2
S0376,0.013709175831331001,1
S0377,0.013579142138395759,2
S0378,0.013155094018001284,1
S0379,0.0120035629262375,4
S0380,0.01172781957779899,1
S0381,0.009936295776674972,0
S0382,0.008495913271846903,0
S0383,0.008144524336536417,2
S0384,0.008042349958653897,0
S0385,0.007959314288521443,2
S0386,0.007613947765906662,0
S0387,0.007310075103306519,0
S0388,0.00652185552068803,0
S0389,0.005881842991498668,0
S0390,0.005880409685333001,0
S0391,0.005133881922463441,0
S0392,0.004712665546325164,0
S0393,0.004121588778579354,1
S0394,0.003557507961168202,1
S0395,0.0035573697377698195,0
S0396,0.003350903961896216,0
S0397,0.0032665685312919957,0
S0398,0.0025016643913935975,1
S0399,0.001183573747718315,1
S0400,0.0002803574620131306,0
