sku_id,klasse,slot_id
S0073,C,A05-C00-R
S0093,C,A05-C00-L
S0088,C,A01-C10-L
S0085,C,A01-C10-R
S0079,C,A02-C08-R
S0077,C,A02-C08-L
S0084,C,A04-C03-L
S0096,C,A04-C03-R
S0091,C,A00-C13-L
S0101,C,A00-C13-R
S0099,C,A03-C06-R
S0118,C,A03-C06-L
S0094,C,A01-C11-L
S0089,C,A01-C11-R
S0095,C,A05-C01-L
S0105,C,A05-C01-R
S0082,C,A00-C14-R
S0097,C,A00-C14-L
S0102,C,A02-C09-L
S0127,C,A02-C09-R
S0086,C,A04-C04-L
S0087,C,A04-C04-R
S0107,C,A03-C07-R
S0092,C,A03-C07-L
S0108,C,A01-C12-L
S0103,C,A01-C12-R
S0120,C,A05-C02-R
S0115,C,A05-C02-L
S0125,C,A06-C00-L
S0106,C,A06-C00-R
S0132,C,A02-C10-L
S0111,C,A02-C10-R
S0117,C,A04-C05-L
S0104,C,A04-C05-R
S0083,C,A00-C15-R
S0116,C,A00-C15-L
S0128,C,A05-C03-R
S0100,C,A05-C03-L
S0126,C,A01-C13-L
S0109,C,A01-C13-R
S0124,C,A03-C08-L
S0114,C,A03-C08-R
S0123,C,A00-C16-R
S0113,C,A00-C16-L
S0122,C,A02-C11-L
S0112,C,A02-C11-R
S0119,C,A04-C06-L
S0140,C,A04-C06-R
S0138,C,A06-C01-L
S0110,C,A06-C01-R
S0153,C,A05-C04-L
S0154,C,A05-C04-R
S0151,C,A03-C09-L
S0130,C,A03-C09-R
S0129,C,A01-C14-R
S0148,C,A01-C14-L
S0149,C,A02-C12-L
S0134,C,A02-C12-R
S0150,C,A00-C17-R
S0133,C,A00-C17-L
S0131,C,A06-C02-L
S0121,C,A06-C02-R
S0142,C,A04-C07-L
S0146,C,A04-C07-R
S0168,C,A05-C05-L
S0136,C,A05-C05-R
S0162,C,A07-C00-L
S0160,C,A07-C00-R
S0144,C,A01-C15-R
S0137,C,A01-C15-L
S0152,C,A03-C10-R
S0135,C,A03-C10-L
S0141,C,A00-C18-R
S0165,C,A00-C18-L
S0139,C,A06-C03-R
S0179,C,A06-C03-L
S0170,C,A02-C13-L
S0156,C,A02-C13-R
S0155,C,A04-C08-L
S0143,C,A04-C08-R
S0176,C,A01-C16-R
S0185,C,A01-C16-L
S0157,C,A05-C06-R
S0173,C,A05-C06-L
S0161,C,A03-C11-L
S0158,C,A03-C11-R
S0219,C,A07-C01-L
S0206,C,A07-C01-R
S0145,C,A02-C14-L
S0174,C,A02-C14-R
S0147,C,A00-C19-L
S0172,C,A00-C19-R
S0159,C,A06-C04-L
S0167,C,A06-C04-R
S0194,C,A04-C09-L
S0175,C,A04-C09-R
S0182,C,A07-C02-R
S0166,C,A07-C02-L
S0217,C,A05-C07-R
S0171,C,A05-C07-L
S0184,C,A03-C12-L
S0180,C,A03-C12-R
S0178,C,A01-C17-R
S0177,C,A01-C17-L
S0196,C,A04-C10-L
S0198,C,A04-C10-R
S0186,C,A08-C00-L
S0181,C,A08-C00-R
S0209,C,A06-C05-L
S0203,C,A06-C05-R
S0210,C,A02-C15-R
S0189,C,A02-C15-L
S0187,C,A05-C08-L
S0163,C,A05-C08-R
S0193,C,A07-C03-R
S0190,C,A07-C03-L
S0192,C,A01-C18-R
S0191,C,A01-C18-L
S0164,C,A03-C13-L
S0202,C,A03-C13-R
S0183,C,A06-C06-R
S0224,C,A06-C06-L
S0169,C,A04-C11-L
S0188,C,A04-C11-R
S0200,C,A02-C16-R
S0197,C,A02-C16-L
S0225,C,A08-C01-R
S0211,C,A08-C01-L
S0207,C,A07-C04-R
S0199,C,A07-C04-L
S0215,C,A01-C19-R
S0228,C,A01-C19-L
S0232,C,A03-C14-R
S0223,C,A03-C14-L
S0204,C,A05-C09-L
S0212,C,A05-C09-R
S0214,C,A02-C17-R
S0208,C,A02-C17-L
S0241,C,A06-C07-L
S0213,C,A06-C07-R
S0222,C,A04-C12-R
S0286,C,A04-C12-L
S0243,C,A08-C02-R
S0226,C,A08-C02-L
S0236,C,A09-C00-R
S0195,C,A09-C00-L
S0272,C,A03-C15-L
S0267,C,A03-C15-R
S0257,C,A05-C10-R
S0254,C,A05-C10-L
S0221,C,A07-C05-L
S0227,C,A07-C05-R
S0231,C,A06-C08-L
S0230,C,A06-C08-R
S0205,C,A04-C13-R
S0216,C,A04-C13-L
S0244,C,A08-C03-R
S0218,C,A08-C03-L
S0246,C,A02-C18-L
S0265,C,A02-C18-R
S0287,C,A03-C16-R
S0201,C,A03-C16-L
S0239,C,A07-C06-R
S0229,C,A07-C06-L
S0258,C,A05-C11-R
S0260,C,A05-C11-L
S0274,C,A09-C01-L
S0220,C,A09-C01-R
S0317,C,A02-C19-L
S0234,C,A02-C19-R
S0249,C,A08-C04-R
S0248,C,A08-C04-L
S0291,C,A06-C09-R
S0294,C,A06-C09-L
S0237,C,A04-C14-R
S0238,C,A04-C14-L
S0262,C,A03-C17-L
S0264,C,A03-C17-R
S0292,C,A09-C02-R
S0242,C,A09-C02-L
S0255,C,A07-C07-L
S0233,C,A07-C07-R
S0340,C,A05-C12-L
S0338,C,A05-C12-R
S0316,C,A08-C05-R
S0278,C,A08-C05-L
S0270,C,A04-C15-R
S0261,C,A04-C15-L
S0271,C,A06-C10-L
S0235,C,A06-C10-R
S0273,C,A03-C18-R
S0266,C,A03-C18-L
S0275,C,A09-C03-R
S0282,C,A09-C03-L
S0295,C,A05-C13-L
S0304,C,A05-C13-R
S0293,C,A07-C08-L
S0259,C,A07-C08-R
S0352,C,A06-C11-R
S0347,C,A06-C11-L
S0308,C,A04-C16-L
S0306,C,A04-C16-R
S0327,C,A08-C06-R
S0313,C,A08-C06-L
S0276,C,A03-C19-R
S0263,C,A03-C19-L
S0284,C,A07-C09-L
S0251,C,A07-C09-R
S0252,C,A09-C04-R
S0301,C,A09-C04-L
S0297,C,A05-C14-R
S0329,C,A05-C14-L
S0336,C,A04-C17-L
S0335,C,A04-C17-R
S0285,C,A08-C07-R
S0250,C,A08-C07-L
S0281,C,A06-C12-L
S0279,C,A06-C12-R
S0373,C,A05-C15-L
S0256,C,A05-C15-R
S0253,C,A07-C10-R
S0348,C,A07-C10-L
S0245,C,A09-C05-R
S0290,C,A09-C05-L
S0318,C,A04-C18-L
S0324,C,A04-C18-R
S0328,C,A06-C13-L
S0298,C,A06-C13-R
S0269,C,A08-C08-L
S0268,C,A08-C08-R
S0354,C,A05-C16-L
S0351,C,A05-C16-R
S0299,C,A09-C06-L
S0300,C,A09-C06-R
S0288,C,A07-C11-L
S0289,C,A07-C11-R
S0341,C,A06-C14-L
S0283,C,A06-C14-R
S0280,C,A08-C09-L
S0303,C,A08-C09-R
S0320,C,A04-C19-L
S0334,C,A04-C19-R
S0305,C,A07-C12-R
S0379,C,A07-C12-L
S0314,C,A05-C17-L
S0247,C,A05-C17-R
S0240,C,A09-C07-L
S0312,C,A09-C07-R
S0355,C,A08-C10-L
S0350,C,A08-C10-R
S0309,C,A06-C15-R
S0315,C,A06-C15-L
S0337,C,A05-C18-L
S0330,C,A05-C18-R
S0277,C,A07-C13-R
S0368,C,A07-C13-L
S0357,C,A09-C08-R
S0359,C,A09-C08-L
S0353,C,A06-C16-R
S0321,C,A06-C16-L
S0356,C,A08-C11-R
S0344,C,A08-C11-L
S0325,C,A07-C14-R
S0339,C,A07-C14-L
S0310,C,A05-C19-L
S0311,C,A05-C19-R
S0375,C,A09-C09-L
S0296,C,A09-C09-R
S0364,C,A08-C12-L
S0385,C,A08-C12-R
S0342,C,A06-C17-R
S0383,C,A06-C17-L
S0363,C,A09-C10-L
S0370,C,A09-C10-R
S0361,C,A07-C15-R
S0345,C,A07-C15-L
S0362,C,A08-C13-L
S0322,C,A08-C13-R
S0323,C,A06-C18-R
S0333,C,A06-C18-L
S0377,C,A07-C16-R
S0366,C,A07-C16-L
S0367,C,A09-C11-R
S0372,C,A09-C11-L
S0394,C,A06-C19-L
S0374,C,A06-C19-R
S0398,C,A08-C14-L
S0393,C,A08-C14-R
S0360,C,A07-C17-L
S0349,C,A07-C17-R
S0358,C,A09-C12-R
S0343,C,A09-C12-L
S0307,C,A08-C15-R
S0332,C,A08-C15-L
S0326,C,A09-C13-R
S0376,C,A09-C13-L
S0378,C,A07-C18-R
S0399,C,A07-C18-L
S0380,C,A08-C16-L
S0319,C,A08-C16-R
S0365,C,A07-C19-L
S0387,C,A07-C19-R
S0386,C,A09-C14-R
S0390,C,A09-C14-L
S0397,C,A08-C17-L
S0396,C,A08-C17-R
S0395,C,A09-C15-R
S0391,C,A09-C15-L
S0392,C,A08-C18-R
S0388,C,A08-C18-L
S0389,C,A09-C16-R
S0371,C,A09-C16-L
S0302,C,A08-C19-R
S0369,C,A08-C19-L
S0400,C,A09-C17-R
S0331,C,A09-C17-L
S0346,C,A09-C18-R
S0381,C,A09-C18-L
S0382,C,A09-C19-R
S0384,C,A09-C19-L
