slot_id,aisle,col,side,x,y,d_one_way,d_round_trip
A02-C15-L,2,15,L,6.25,18.5,24.75,49.5
A02-C15-R,2,15,R,6.25,18.5,24.75,49.5
A02-C16-L,2,16,L,6.25,19.5,25.75,51.5
A02-C16-R,2,16,R,6.25,19.5,25.75,51.5
A02-C17-L,2,17,L,6.25,20.5,26.75,53.5
A02-C17-R,2,17,R,6.25,20.5,26.75,53.5
A02-C18-L,2,18,L,6.25,21.5,27.75,55.5
A02-C18-R,2,18,R,6.25,21.5,27.75,55.5
A02-C19-L,2,19,L,6.25,22.5,28.75,57.5
A02-C19-R,2,19,R,6.25,22.5,28.75,57.5
A03-C00-L,3,0,L,8.75,3.5,12.25,24.5
A03-C00-R,3,0,R,8.75,3.5,12.25,24.5
A03-C01-L,3,1,L,8.75,4.5,13.25,26.5
A03-C01-R,3,1,R,8.75,4.5,13.25,26.5
A03-C02-L,3,2,L,8.75,5.5,14.25,28.5
A03-C02-R,3,2,R,8.75,5.5,14.25,28.5
A03-C03-L,3,3,L,8.75,6.5,15.25,30.5
A03-C03-R,3,3,R,8.75,6.5,15.25,30.5
A03-C04-L,3,4,L,8.75,7.5,16.25,32.5
A03-C04-R,3,4,R,8.75,7.5,16.25,32.5
A03-C05-L,3,5,L,8.75,8.5,17.25,34.5
A03-C05-R,3,5,R,8.75,8.5,17.25,34.5
A03-C06-L,3,6,L,8.75,9.5,18.25,36.5
A03-C06-R,3,6,R,8.75,9.5,18.25,36.5
A03-C07-L,3,7,L,8.75,10.5,19.25,38.5
A03-C07-R,3,7,R,8.75,10.5,19.25,38.5
A03-C08-L,3,8,L,8.75,11.5,20.25,40.5
A03-C08-R,3,8,R,8.75,11.5,20.25,40.5
A03-C09-L,3,9,L,8.75,12.5,21.25,42.5
A03-C09-R,3,9,R,8.75,12.5,21.25,42.5
A03-C10-L,3,10,L,8.75,13.5,22.25,44.5
A03-C10-R,3,10,R,8.75,13.5,22.25,44.5
A03-C11-L,3,11,L,8.75,14.5,23.25,46.5
A03-C11-R,3,11,R,8.75,14.5,23.25,46.5
A03-C12-L,3,12,L,8.75,15.5,24.25,48.5
A03-C12-R,3,12,R,8.75,15.5,24.25,48.5
A03-C13-L,3,13,L,8.75,16.5,25.25,50.5
A03-C13-R,3,13,R,8.75,16.5,25.25,50.5
A03-C14-L,3,14,L,8.75,17.5,26.25,52.5
A03-C14-R,3,14,R,8.75,17.5,26.25,52.5
A03-C15-L,3,15,L,8.75,18.5,27.25,54.5
A03-C15-R,3,15,R,8.75,18.5,27.25,54.5
A03-C16-L,3,16,L,8.75,19.5,28.25,56.5
A03-C16-R,3,16,R,8.75,19.5,28.25,56.5
A03-C17-L,3,17,L,8.75,20.5,29.25,58.5
A03-C17-R,3,17,R,8.75,20.5,29.25,58.5
A03-C18-L,3,18,L,8.75,21.5,30.25,60.5
A03-C18-R,3,18,R,8.75,21.5,30.25,60.5
A03-C19-L,3,19,L,8.75,22.5,31.25,62.5
A03-C19-R,3,19,R,8.75,22.5,31.25,62.5
A04-C00-L,4,0,L,11.25,3.5,14.75,29.5
A04-C00-R,4,0,R,11.25,3.5,14.75,29.5
A04-C01-L,4,1,L,11.25,4.5,15.75,31.5
A04-C01-R,4,1,R,11.25,4.5,15.75,31.5
A04-C02-L,4,2,L,11.25,5.5,16.75,33.5
A04-C02-R,4,2,R,11.25,5.5,16.75,33.5
A04-C03-L,4,3,L,11.25,6.5,17.75,35.5
A04-C03-R,4,3,R,11.25,6.5,17.75,35.5
A04-C04-L,4,4,L,11.25,7.5,18.75,37.5
A04-C04-R,4,4,R,11.25,7.5,18.75,37.5
A04-C05-L,4,5,L,11.25,8.5,19.75,39.5
A04-C05-R,4,5,R,11.25,8.5,19.75,39.5
A04-C06-L,4,6,L,11.25,9.5,20.75,41.5
A04-C06-R,4,6,R,11.25,9.5,20.75,41.5
A04-C07-L,4,7,L,11.25,10.5,21.75,43.5
A04-C07-R,4,7,R,11.25,10.5,21.75,43.5
A04-C08-L,4,8,L,11.25,11.5,22.75,45.5
A04-C08-R,4,8,R,11.25,11.5,22.75,45.5
A04-C09-L,4,9,L,11.25,12.5,23.75,47.5
A04-C09-R,4,9,R,11.25,12.5,23.75,47.5
A04-C10-L,4,10,L,11.25,13.5,24.75,49.5
A04-C10-R,4,10,R,11.25,13.5,24.75,49.5
A04-C11-L,4,11,L,11.25,14.5,25.75,51.5
A04-C11-R,4,11,R,11.25,14.5,25.75,51.5
A04-C12-L,4,12,L,11.25,15.5,26.75,53.5
A04-C12-R,4,12,R,11.25,15.5,26.75,53.5
A04-C13-L,4,13,L,11.25,16.5,27.75,55.5
A04-C13-R,4,13,R,11.25,16.5,27.75,55.5
A04-C14-L,4,14,L,11.25,17.5,28.75,57.5
A04-C14-R,4,14,R,11.25,17.5,28.75,57.5
A04-C15-L,4,15,L,11.25,18.5,29.75,59.5
A04-C15-R,4,15,R,11.25,18.5,29.75,59.5
A04-C16-L,4,16,L,11.25,19.5,30.75,61.5
A04-C16-R,4,16,R,11.25,19.5,30.75,61.5
A04-C17-L,4,17,L,11.25,20.5,31.75,63.5
A04-C17-R,4,17,R,11.25,20.5,31.75,63.5
A04-C18-L,4,18,L,11.25,21.5,32.75,65.5
A04-C18-R,4,18,R,11.25,21.5,32.75,65.5
A04-C19-L,4,19,L,11.25,22.5,33.75,67.5
A04-C19-R,4,19,R,11.25,22.5,33.75,67.5
A05-C00-L,5,0,L,13.75,3.5,17.25,34.5
A05-C00-R,5,0,R,13.75,3.5,17.25,34.5
A05-C01-L,5,1,L,13.75,4.5,18.25,36.5
A05-C01-R,5,1,R,13.75,4.5,18.25,36.5
A05-C02-L,5,2,L,13.75,5.5,19.25,38.5
A05-C02-R,5,2,R,13.75,5.5,19.25,38.5
A05-C03-L,5,3,L,13.75,6.5,20.25,40.5
A05-C03-R,5,3,R,13.75,6.5,20.25,40.5
A05-C04-L,5,4,L,13.75,7.5,21.25,42.5
A05-C04-R,5,4,R,13.75,7.5,21.25,42.5
A05-C05-L,5,5,L,13.75,8.5,22.25,44.5
A05-C05-R,5,5,R,13.75,8.5,22.25,44.5
A05-C06-L,5,6,L,13.75,9.5,23.25,46.5
A05-C06-R,5,6,R,13.75,9.5,23.25,46.5
A05-C07-L,5,7,L,13.75,10.5,24.25,48.5
A05-C07-R,5,7,R,13.75,10.5,24.25,48.5
A05-C08-L,5,8,L,13.75,11.5,25.25,50.5
A05-C08-R,5,8,R,13.75,11.5,25.25,50.5
A05-C09-L,5,9,L,13.75,12.5,26.25,52.5
A05-C09-R,5,9,R,13.75,12.5,26.25,52.5
A05-C10-L,5,10,L,13.75,13.5,27.25,54.5
A05-C10-R,5,10,R,13.75,13.5,27.25,54.5
A05-C11-L,5,11,L,13.75,14.5,28.25,56.5
A05-C11-R,5,11,R,13.75,14.5,28.25,56.5
A05-C12-L,5,12,L,13.75,15.5,29.25,58.5
A05-C12-R,5,12,R,13.75,15.5,29.25,58.5
A05-C13-L,5,13,L,13.75,16.5,30.25,60.5
A05-C13-R,5,13,R,13.75,16.5,30.25,60.5
A05-C14-L,5,14,L,13.75,17.5,31.25,62.5
A05-C14-R,5,14,R,13.75,17.5,31.25,62.5
A05-C15-L,5,15,L,13.75,18.5,32.25,64.5
A05-C15-R,5,15,R,13.75,18.5,32.25,64.5
A05-C16-L,5,16,L,13.75,19.5,33.25,66.5
A05-C16-R,5,16,R,13.75,19.5,33.25,66.5
A05-C17-L,5,17,L,13.75,20.5,34.25,68.5
A05-C17-R,5,17,R,13.75,20.5,34.25,68.5
A05-C18-L,5,18,L,13.75,21.5,35.25,70.5
A05-C18-R,5,18,R,13.75,21.5,35.25,70.5
A05-C19-L,5,19,L,13.75,22.5,36.25,72.5
A05-C19-R,5,19,R,13.75,22.5,36.25,72.5
A06-C00-L,6,0,L,16.25,3.5,19.75,39.5
A06-C00-R,6,0,R,16.25,3.5,19.75,39.5
A06-C01-L,6,1,L,16.25,4.5,20.75,41.5
A06-C01-R,6,1,R,16.25,4.5,20.75,41.5
A06-C02-L,6,2,L,16.25,5.5,21.75,43.5
A06-C02-R,6,2,R,16.25,5.5,21.75,43.5
A06-C03-L,6,3,L,16.25,6.5,22.75,45.5
A06-C03-R,6,3,R,16.25,6.5,22.75,45.5
A06-C04-L,6,4,L,16.25,7.5,23.75,47.5
A06-C04-R,6,4,R,16.25,7.5,23.75,47.5
A06-C05-L,6,5,L,16.25,8.5,24.75,49.5
A06-C05-R,6,5,R,16.25,8.5,24.75,49.5
A06-C06-L,6,6,L,16.25,9.5,25.75,51.5
A06-C06-R,6,6,R,16.25,9.5,25.75,51.5
A06-C07-L,6,7,L,16.25,10.5,26.75,53.5
A06-C07-R,6,7,R,16.25,10.5,26.75,53.5
A06-C08-L,6,8,L,16.25,11.5,27.75,55.5
A06-C08-R,6,8,R,16.25,11.5,27.75,55.5
A06-C09-L,6,9,L,16.25,12.5,28.75,57.5
A06-C09-R,6,9,R,16.25,12.5,28.75,57.5
A06-C10-L,6,10,L,16.25,13.5,29.75,59.5
A06-C10-R,6,10,R,16.25,13.5,29.75,59.5
A06-C11-L,6,11,L,16.25,14.5,30.75,61.5
A06-C11-R,6,11,R,16.25,14.5,30.75,61.5
A06-C12-L,6,12,L,16.25,15.5,31.75,63.5
A06-C12-R,6,12,R,16.25,15.5,31.75,63.5
A06-C13-L,6,13,L,16.25,16.5,32.75,65.5
A06-C13-R,6,13,R,16.25,16.5,32.75,65.5
A06-C14-L,6,14,L,16.25,17.5,33.75,67.5
A06-C14-R,6,14,R,16.25,17.5,33.75,67.5
A06-C15-L,6,15,L,16.25,18.5,34.75,69.5
A06-C15-R,6,15,R,16.25,18.5,34.75,69.5
A06-C16-L,6,16,L,16.25,19.5,35.75,71.5
A06-C16-R,6,16,R,16.25,19.5,35.75,71.5
A06-C17-L,6,17,L,16.25,20.5,36.75,73.5
A06-C17-R,6,17,R,16.25,20.5,36.75,73.5
A06-C18-L,6,18,L,16.25,21.5,37.75,75.5
A06-C18-R,6,18,R,16.25,21.5,37.75,75.5
A06-C19-L,6,19,L,16.25,22.5,38.75,77.5
A06-C19-R,6,19,R,16.25,22.5,38.75,77.5
A07-C00-L,7,0,L,18.75,3.5,22.25,44.5
A07-C00-R,7,0,R,18.75,3.5,22.25,44.5
A07-C01-L,7,1,L,18.75,4.5,23.25,46.5
A07-C01-R,7,1,R,18.75,4.5,23.25,46.5
A07-C02-L,7,2,L,18.75,5.5,24.25,48.5
A07-C02-R,7,2,R,18.75,5.5,24.25,48.5
A07-C03-L,7,3,L,18.75,6.5,25.25,50.5
A07-C03-R,7,3,R,18.75,6.5,25.25,50.5
A07-C04-L,7,4,L,18.75,7.5,26.25,52.5
A07-C04-R,7,4,R,18.75,7.5,26.25,52.5
A07-C05-L,7,5,L,18.75,8.5,27.25,54.5
A07-C05-R,7,5,R,18.75,8.5,27.25,54.5
A07-C06-L,7,6,L,18.75,9.5,28.25,56.5
A07-C06-R,7,6,R,18.75,9.5,28.25,56.5
A07-C07-L,7,7,L,18.75,10.5,29.25,58.5
A07-C07-R,7,7,R,18.75,10.5,29.25,58.5
A07-C08-L,7,8,L,18.75,11.5,30.25,60.5
A07-C08-R,7,8,R,18.75,11.5,30.25,60.5
A07-C09-L,7,9,L,18.75,12.5,31.25,62.5
A07-C09-R,7,9,R,18.75,12.5,31.25,62.5
A07-C10-L,7,10,L,18.75,13.5,32.25,64.5
A07-C10-R,7,10,R,18.75,13.5,32.25,64.5
A07-C11-L,7,11,L,18.75,14.5,33.25,66.5
A07-C11-R,7,11,R,18.75,14.5,33.25,66.5
A07-C12-L,7,12,L,18.75,15.5,34.25,68.5
A07-C12-R,7,12,R,18.75,15.5,34.25,68.5
A07-C13-L,7,13,L,18.75,16.5,35.25,70.5
A07-C13-R,7,13,R,18.75,16.5,35.25,70.5
A07-C14-L,7,14,L,18.75,17.5,36.25,72.5
A07-C14-R,7,14,R,18.75,17.5,36.25,72.5
A07-C15-L,7,15,L,18.75,18.5,37.25,74.5
A07-C15-R,7,15,R,18.75,18.5,37.25,74.5
A07-C16-L,7,16,L,18.75,19.5,38.25,76.5
A07-C16-R,7,16,R,18.75,19.5,38.25,76.5
A07-C17-L,7,17,L,18.75,20.5,39.25,78.5
A07-C17-R,7,17,R,18.75,20.5,39.25,78.5
A07-C18-L,7,18,L,18.75,21.5,40.25,80.5
A07-C18-R,7,18,R,18.75,21.5,40.25,80.5
A07-C19-L,7,19,L,18.75,22.5,41.25,82.5
A07-C19-R,7,19,R,18.75,22.5,41.25,82.5
A08-C00-L,8,0,L,21.25,3.5,24.75,49.5
A08-C00-R,8,0,R,21.25,3.5,24.75,49.5
A08-C01-L,8,1,L,21.25,4.5,25.75,51.5
A08-C01-R,8,1,R,21.25,4.5,25.75,51.5
A08-C02-L,8,2,L,21.25,5.5,26.75,53.5
A08-C02-R,8,2,R,21.25,5.5,26.75,53.5
A08-C03-L,8,3,L,21.25,6.5,27.75,55.5
A08-C03-R,8,3,R,21.25,6.5,27.75,55.5
A08-C04-L,8,4,L,21.25,7.5,28.75,57.5
A08-C04-R,8,4,R,21.25,7.5,28.75,57.5
A08-C05-L,8,5,L,21.25,8.5,29.75,59.5
A08-C05-R,8,5,R,21.25,8.5,29.75,59.5
A08-C06-L,8,6,L,21.25,9.5,30.75,61.5
A08-C06-R,8,6,R,21.25,9.5,30.75,61.5
A08-C07-L,8,7,L,21.25,10.5,31.75,63.5
A08-C07-R,8,7,R,21.25,10.5,31.75,63.5
A08-C08-L,8,8,L,21.25,11.5,32.75,65.5
A08-C08-R,8,8,R,21.25,11.5,32.75,65.5
A08-C09-L,8,9,L,21.25,12.5,33.75,67.5
A08-C09-R,8,9,R,21.25,12.5,33.75,67.5
A08-C10-L,8,10,L,21.25,13.5,34.75,69.5
A08-C10-R,8,10,R,21.25,13.5,34.75,69.5
A08-C11-L,8,11,L,21.25,14.5,35.75,71.5
A08-C11-R,8,11,R,21.25,14.5,35.75,71.5
A08-C12-L,8,12,L,21.25,15.5,36.75,73.5
A08-C12-R,8,12,R,21.25,15.5,36.75,73.5
A08-C13-L,8,13,L,21.25,16.5,37.75,75.5
A08-C13-R,8,13,R,21.25,16.5,37.75,75.5
A08-C14-L,8,14,L,21.25,17.5,38.75,77.5
A08-C14-R,8,14,R,21.25,17.5,38.75,77.5
A08-C15-L,8,15,L,21.25,18.5,39.75,79.5
A08-C15-R,8,15,R,21.25,18.5,39.75,79.5
A08-C16-L,8,16,L,21.25,19.5,40.75,81.5
A08-C16-R,8,16,R,21.25,19.5,40.75,81.5
A08-C17-L,8,17,L,21.25,20.5,41.75,83.5
A08-C17-R,8,17,R,21.25,20.5,41.75,83.5
A08-C18-L,8,18,L,21.25,21.5,42.75,85.5
A08-C18-R,8,18,R,21.25,21.5,42.75,85.5
A08-C19-L,8,19,L,21.25,22.5,43.75,87.5
A08-C19-R,8,19,R,21.25,22.5,43.75,87.5
A09-C00-L,9,0,L,23.75,3.5,27.25,54.5
A09-C00-R,9,0,R,23.75,3.5,27.25,54.5
A09-C01-L,9,1,L,23.75,4.5,28.25,56.5
A09-C01-R,9,1,R,23.75,4.5,28.25,56.5
A09-C02-L,9,2,L,23.75,5.5,29.25,58.5
A09-C02-R,9,2,R,23.75,5.5,29.25,58.5
A09-C03-L,9,3,L,23.75,6.5,30.25,60.5
A09-C03-R,9,3,R,23.75,6.5,30.25,60.5
A09-C04-L,9,4,L,23.75,7.5,31.25,62.5
A09-C04-R,9,4,R,23.75,7.5,31.25,62.5
A09-C05-L,9,5,L,23.75,8.5,32.25,64.5
A09-C05-R,9,5,R,23.75,8.5,32.25,64.5
A09-C06-L,9,6,L,23.75,9.5,33.25,66.5
A09-C06-R,9,6,R,23.75,9.5,33.25,66.5
A09-C07-L,9,7,L,23.75,10.5,34.25,68.5
A09-C07-R,9,7,R,23.75,10.5,34.25,68.5
A09-C08-L,9,8,L,23.75,11.5,35.25,70.5
A09-C08-R,9,8,R,23.75,11.5,35.25,70.5
A09-C09-L,9,9,L,23.75,12.5,36.25,72.5
A09-C09-R,9,9,R,23.75,12.5,36.25,72.5
A09-C10-L,9,10,L,23.75,13.5,37.25,74.5
A09-C10-R,9,10,R,23.75,13.5,37.25,74.5
A09-C11-L,9,11,L,23.75,14.5,38.25,76.5
A09-C11-R,9,11,R,23.75,14.5,38.25,76.5
A09-C12-L,9,12,L,23.75,15.5,39.25,78.5
A09-C12-R,9,12,R,23.75,15.5,39.25,78.5
A09-C13-L,9,13,L,23.75,16.5,40.25,80.5
A09-C13-R,9,13,R,23.75,16.5,40.25,80.5
A09-C14-L,9,14,L,23.75,17.5,41.25,82.5
A09-C14-R,9,14,R,23.75,17.5,41.25,82.5
A09-C15-L,9,15,L,23.75,18.5,42.25,84.5
A09-C15-R,9,15,R,23.75,18.5,42.25,84.5
A09-C16-L,9,16,L,23.75,19.5,43.25,86.5
A09-C16-R,9,16,R,23.75,19.5,43.25,86.5
A09-C17-L,9,17,L,23.75,20.5,44.25,88.5
A09-C17-R,9,17,R,23.75,20.5,44.25,88.5
A09-C18-L,9,18,L,23.75,21.5,45.25,90.5
A09-C18-R,9,18,R,23.75,21.5,45.25,90.5
A09-C19-L,9,19,L,23.75,22.5,46.25,92.5
A09-C19-R,9,19,R,23.75,22.5,46.25,92.5
